Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2014-07-31 17:49:45,Running,,5.33,44:30,8:21,7.19,410.0,118.00,,,2014-07-31-1749.gpx
2014-07-28 17:28:55,Running,,4.28,34:56,8:10,7.35,212.0,,,,
